,tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,PlaneYear
2283,N589UA,Corporation,BOEING,11/04/1997,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
2284,N589US,Corporation,BOEING,10/25/2006,737-301,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1988
2285,N59053,Corporation,BOEING,10/11/2000,767-424ER,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
2286,N590AA,Corporation,MCDONNELL DOUGLAS,09/30/1991,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
2287,N590HA,Corporation,BOEING,12/06/2002,767-3CB,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2002
2288,N590JB,Corporation,AIRBUS,06/28/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2289,N590NW,Corporation,BOEING,04/02/2003,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
2290,N590SW,Corporation,CANADAIR,08/25/1995,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1995
2291,N590UA,Corporation,BOEING,01/02/1998,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
2292,N590US,Corporation,BOEING,11/03/2006,737-301,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1988
2293,N591AA,Corporation,MCDONNELL DOUGLAS,10/09/1991,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
2294,N591HA,Corporation,BOEING,01/16/2003,767-33A,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
2295,N591JB,Corporation,AIRBUS,08/04/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2296,N591NW,Corporation,BOEING,07/02/2003,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
2297,N591SW,Corporation,CANADAIR,09/08/1995,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1995
2298,N591US,Corporation,BOEING,10/24/2006,737-301,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1988
2299,N592AA,Corporation,MCDONNELL DOUGLAS,11/15/1991,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
2300,N592AS,Corporation,BOEING,02/14/2008,737-890,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
2301,N592HA,Corporation,BOEING,02/04/2003,767-3CB,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
2302,N592JB,Corporation,AIRBUS,09/01/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2303,N592NW,Corporation,BOEING,07/01/2003,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
2304,N592UA,Corporation,BOEING,07/11/1996,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
2305,N59302,Corporation,BOEING,04/03/2006,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1985
2306,N59338,Corporation,BOEING,04/16/2007,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1987
2307,N593AA,Corporation,MCDONNELL DOUGLAS,11/13/1991,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1991
2308,N593AS,Corporation,BOEING,03/20/2008,737-890,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
2309,N593HA,Corporation,BOEING,03/14/2003,767-33A,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
2310,N593JB,Corporation,AIRBUS,09/29/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2311,N593NW,Corporation,BOEING,07/30/2003,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
2312,N593UA,Corporation,BOEING,08/13/1996,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
2313,N594AA,Corporation,MCDONNELL DOUGLAS,02/19/1992,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
2314,N594AS,Corporation,BOEING,03/26/2008,737-890,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
2315,N594HA,Corporation,BOEING,04/06/2006,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
2316,N594JB,Corporation,AIRBUS,10/12/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2317,N594NW,Corporation,BOEING,08/25/2003,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
2318,N594SW,Corporation,BOMBARDIER INC,08/21/2007,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
2319,N594UA,Corporation,BOEING,09/13/1996,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1996
2320,N595AA,Corporation,MCDONNELL DOUGLAS,04/14/1992,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
2321,N595JB,Corporation,AIRBUS,10/14/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2322,N595NW,Corporation,BOEING,11/24/2003,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
2323,N595SW,Corporation,BOMBARDIER INC,08/16/2007,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
2324,N595UA,Corporation,BOEING,02/06/1998,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
2325,N59630,Corporation,BOEING,05/31/1995,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1995
2326,N596AA,Corporation,MCDONNELL DOUGLAS,06/11/1992,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
2327,N596HA,Corporation,BOEING,04/04/2006,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
2328,N596NW,Corporation,BOEING,12/02/2003,757-351,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
2329,N596UA,Corporation,BOEING,03/18/1998,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
2330,N597AA,Corporation,MCDONNELL DOUGLAS,06/30/1992,DC-9-83(MD-83),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1992
2331,N597HA,Corporation,BOEING,04/06/2006,767-332,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
2332,N597JB,Corporation,AIRBUS,11/09/2004,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
2333,N597SW,Corporation,BOMBARDIER INC,08/09/2007,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
2334,N597UA,Corporation,BOEING,01/12/1999,757-222,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
