,tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,PlaneYear
764,N262WN,Corporation,BOEING,01/31/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
765,N263WN,Corporation,BOEING,02/22/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
766,N264LV,Corporation,BOEING,02/28/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
767,N26545,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
768,N26549,Corporation,EMBRAER,05/30/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
769,N265JB,Corporation,EMBRAER,11/09/2006,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
770,N265WN,Corporation,BOEING,03/12/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
771,N266AA,Corporation,MCDONNELL DOUGLAS,07/29/1985,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
772,N266JB,Corporation,EMBRAER,02/15/2007,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
773,N266WN,Corporation,BOEING,03/28/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
774,N267AT,Corporation,BOEING,06/29/2005,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
775,N267JB,Corporation,EMBRAER,02/27/2007,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
776,N267WN,Corporation,BOEING,03/30/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
777,N268AT,Corporation,BOEING,08/02/2005,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
778,N268WN,Corporation,BOEING,04/09/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
779,N269WN,Corporation,BOEING,04/12/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
780,N27015,Corporation,BOEING,04/11/2000,777-224,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
781,N270AY,Corporation,AIRBUS INDUSTRIE,03/30/2000,A330-323,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
782,N270WN,Corporation,BOEING,08/24/2006,737-705,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
783,N270YV,Corporation,EMBRAER,06/24/1998,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1993
784,N27152,Corporation,EMBRAER,11/19/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
785,N27172,Corporation,CANADAIR,04/29/1997,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
786,N27173,Corporation,CANADAIR,04/29/1997,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
787,N27185,Corporation,CANADAIR,12/11/1997,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
788,N27190,Corporation,EMBRAER,08/31/2005,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
789,N27191,Corporation,CANADAIR,01/17/1998,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1997
790,N271AA,Corporation,MCDONNELL DOUGLAS,08/07/1985,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
791,N271WN,Individual,BEECH,04/02/1987,65-A90,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1967
792,N271YV,Corporation,EMBRAER,11/16/2000,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1993
793,N27200,Corporation,EMBRAER,03/29/2006,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
794,N27205,Corporation,BOEING,07/25/2000,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
795,N27213,Corporation,BOEING,07/16/1998,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
796,N27239,Corporation,BOEING,10/18/1999,737-824,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
797,N272AT,Corporation,BOEING,09/20/2005,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
798,N272AY,Corporation,AIRBUS INDUSTRIE,10/18/2007,A330-323,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
799,N272WN,Corporation,BOEING,04/30/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
800,N27314,Corporation,BOMBARDIER INC,12/27/1999,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
801,N27318,Corporation,BOMBARDIER INC,12/27/1999,CL-600-2B19,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
802,N273AT,Corporation,BOEING,11/07/2005,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
803,N273AY,Corporation,AIRBUS INDUSTRIE,07/25/2007,A330-323,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
804,N273JB,Corporation,EMBRAER,06/29/2007,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
805,N273WN,Corporation,BOEING,05/07/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
806,N274AA,Corporation,MCDONNELL DOUGLAS,03/12/2004,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1984
807,N274AY,Corporation,AIRBUS INDUSTRIE,07/19/2007,A330-323,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
808,N274JB,Corporation,EMBRAER,06/21/2007,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
809,N274WN,Corporation,BOEING,05/11/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
810,N27506,Corporation,EMBRAER,10/31/2000,EMB-135ER,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
811,N27512,Corporation,EMBRAER,11/01/2000,EMB-135ER,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
812,N27523,Corporation,EMBRAER,02/22/2001,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
813,N275AY,Corporation,AIRBUS INDUSTRIE,10/25/2005,A330-323,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000
814,N275WN,Corporation,BOEING,05/23/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
815,N27610,Corporation,BOEING,06/01/1994,737-524,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1994
816,N276AT,Corporation,BOEING,11/28/2005,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
817,N276AY,Corporation,AIRBUS INDUSTRIE,10/31/2005,A330-323,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
818,N276WN,Corporation,BOEING,06/07/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
819,N27722,Corporation,BOEING,04/16/1999,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
820,N27724,Corporation,BOEING,06/02/1999,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
821,N27733,Corporation,BOEING,09/30/1999,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
822,N27734,Corporation,BOEING,09/16/1999,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
823,N277AY,Corporation,AIRBUS INDUSTRIE,02/16/2001,A330-323,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
824,N277WN,Corporation,BOEING,06/19/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
825,N278AA,Corporation,MCDONNELL DOUGLAS,08/08/1985,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
826,N278AT,Corporation,BOEING,01/03/2006,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
827,N278AY,Corporation,AIRBUS INDUSTRIE,03/01/2001,A330-323,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
828,N278WN,Corporation,BOEING,07/11/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
829,N27962,Corporation,EMBRAER,06/17/1999,EMB-145,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
830,N279AA,Corporation,MCDONNELL DOUGLAS,08/16/1985,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
831,N279AT,Corporation,BOEING,01/09/2006,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2005
832,N279JB,Corporation,EMBRAER,07/24/2007,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
833,N279WN,Corporation,BOEING,06/21/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
834,N280WN,Corporation,BOEING,06/26/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
835,N281AT,Corporation,BOEING,01/18/2006,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
836,N281JB,Corporation,EMBRAER,09/18/2007,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
837,N281WN,Corporation,BOEING,07/24/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
838,N282WN,Corporation,BOEING,08/13/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
839,N283AA,Corporation,MCDONNELL DOUGLAS,08/17/1985,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
840,N283AT,Corporation,BOEING,03/10/2006,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
841,N283JB,Corporation,EMBRAER,11/13/2007,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
842,N283WN,Corporation,BOEING,08/16/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
843,N284AT,Corporation,BOEING,03/23/2006,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
844,N284WN,Corporation,BOEING,08/28/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
845,N284YV,Corporation,EMBRAER,11/16/2000,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1994
846,N28518,Corporation,EMBRAER,11/07/2000,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
847,N28529,Corporation,EMBRAER,05/31/2002,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
848,N285AT,Corporation,BOEING,04/24/2006,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
849,N285WN,Corporation,BOEING,08/25/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
850,N286AT,Corporation,BOEING,05/11/2006,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
851,N286WN,Corporation,BOEING,08/16/2004,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
852,N287AA,Corporation,MCDONNELL DOUGLAS,09/09/1985,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
853,N287AT,Corporation,BOEING,05/23/2006,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
854,N287WN,Corporation,BOEING,08/25/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
855,N288AT,Corporation,BOEING,06/08/2006,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
856,N288JB,Corporation,EMBRAER,02/01/2008,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
857,N288SW,Corporation,EMBRAER,11/28/2005,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1996
858,N288WN,Corporation,BOEING,09/05/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
859,N289AA,Corporation,MCDONNELL DOUGLAS,09/13/1985,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
860,N289AT,Corporation,BOEING,06/15/2006,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
861,N289CT,Corporation,BOEING,09/06/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
862,N289YV,Corporation,EMBRAER,07/10/1998,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1994
863,N290AA,Corporation,MCDONNELL DOUGLAS,09/17/1985,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
864,N290AT,Corporation,BOEING,07/19/2006,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
865,N290JB,Corporation,EMBRAER,02/29/2008,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008
866,N290SW,Corporation,EMBRAER,07/23/1996,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1996
867,N290WN,Corporation,BOEING,09/17/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
868,N29124,Corporation,BOEING,01/16/1998,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
869,N29129,Corporation,BOEING,03/27/1998,757-224,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1998
870,N291AA,Corporation,MCDONNELL DOUGLAS,09/23/1985,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
871,N291AT,Corporation,BOEING,07/24/2006,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
872,N291SW,Corporation,EMBRAER,07/23/1996,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1996
873,N291WN,Corporation,BOEING,09/27/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
874,N292AA,Corporation,MCDONNELL DOUGLAS,09/25/1985,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
875,N292AT,Corporation,BOEING,08/18/2006,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
876,N292SW,Corporation,EMBRAER,06/04/2007,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1996
877,N292UX,Corporation,EMBRAER,11/18/2005,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1994
878,N292WN,Corporation,BOEING,10/03/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
879,N293,Corporation,CESSNA,04/18/2007,T337G,Valid,Fixed Wing Multi-Engine,Reciprocating,1975
880,N293AA,Corporation,MCDONNELL DOUGLAS,10/07/1985,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
881,N293SW,Corporation,EMBRAER,09/23/1996,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1996
882,N294SW,Corporation,EMBRAER,09/23/1996,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1996
883,N294WN,Corporation,BOEING,10/15/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
884,N29515,Corporation,EMBRAER,10/31/2000,EMB-135LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
885,N295AT,Corporation,BOEING,08/25/2006,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
886,N295SW,Corporation,EMBRAER,11/20/1996,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1996
887,N295UX,Corporation,EMBRAER,11/18/2005,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1995
888,N295WN,Corporation,BOEING,11/19/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
889,N296AT,Corporation,BOEING,10/03/2006,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
890,N296SW,Corporation,EMBRAER,11/26/1996,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1996
891,N296WN,Corporation,BOEING,11/14/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
892,N29717,Corporation,BOEING,01/26/1999,737-724,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1999
893,N297AA,Corporation,MCDONNELL DOUGLAS,03/10/1986,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
894,N297SW,Corporation,EMBRAER,03/22/2004,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1996
895,N297WN,Corporation,BOEING,11/21/2007,737-7H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
896,N298AA,Corporation,MCDONNELL DOUGLAS,03/10/1986,DC-9-82(MD-82),Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
897,N298SW,Corporation,EMBRAER,03/22/2004,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1996
898,N29906,Corporation,EMBRAER,05/29/2002,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
899,N29917,Corporation,EMBRAER,04/19/2001,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
900,N299AT,Corporation,BOEING,10/18/2006,737-76N,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
901,N299SW,Corporation,EMBRAER,05/20/1997,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1997
902,N300AT,Corporation,BOEING,12/11/2006,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
903,N300SW,Corporation,BOEING,12/18/1984,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1984
904,N301NB,Corporation,AIRBUS INDUSTRIE,12/22/1999,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
905,N301SW,Corporation,BOEING,01/10/1985,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1984
906,N301UA,Corporation,BOEING,11/14/1986,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
907,N301US,Corporation,AIRBUS INDUSTRIE,08/01/1989,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1989
908,N301YV,Corporation,EMBRAER,04/09/2001,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1995
909,N302AS,Corporation,BOEING,04/30/2003,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2003
910,N302AW,Corporation,BOEING,06/27/1997,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1988
911,N302NB,Corporation,AIRBUS INDUSTRIE,12/22/1999,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
912,N302SW,Corporation,BOEING,01/10/1985,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1984
913,N302UA,Corporation,BOEING,01/09/1987,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
914,N303AS,Corporation,BOEING,06/26/2001,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
915,N303AW,Corporation,BOEING,01/23/2002,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1988
916,N303SW,Corporation,BOEING,05/06/1985,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
917,N303UA,Corporation,BOEING,01/16/1987,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
918,N303US,Corporation,AIRBUS INDUSTRIE,09/07/1989,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1989
919,N30401,Corporation,BOEING,05/30/2001,737-924,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2001
920,N304AE,Corporation,SAAB-SCANIA,05/18/1998,SAAB 340B,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1992
921,N304SW,Corporation,BOEING,09/14/1985,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
922,N304UA,Corporation,BOEING,02/06/1987,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
923,N304US,Corporation,AIRBUS INDUSTRIE,09/05/1989,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1989
924,N305AS,Corporation,BOEING,05/17/2001,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
925,N305AW,Corporation,BOEING,09/14/2000,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1988
926,N305SW,Corporation,BOEING,09/18/1985,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
927,N305UA,Corporation,BOEING,02/10/1987,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
928,N305US,Corporation,AIRBUS INDUSTRIE,08/01/1989,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1989
929,N306AS,Corporation,BOEING,05/24/2001,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
930,N306AW,Corporation,BOEING,02/28/2006,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
931,N306SW,Corporation,BOEING,10/11/1985,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
932,N306UA,Corporation,BOEING,02/19/1987,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
933,N307AS,Corporation,BOEING,05/30/2001,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
934,N307AT,Corporation,BOEING,12/05/2006,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
935,N307AW,Corporation,BOEING,09/28/2005,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
936,N307SW,Corporation,BOEING,06/27/2005,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
937,N307UA,Corporation,BOEING,03/10/1987,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
938,N308AT,Corporation,BOEING,12/13/2006,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
939,N308AW,Corporation,BOEING,09/28/2005,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
940,N308SA,Corporation,BOEING,03/30/1999,737-3Y0,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
941,N308SW,Corporation,EMBRAER,12/05/2005,EMB-120ER,Valid,Fixed Wing Multi-Engine,Turbo-Prop,1997
942,N308UA,Corporation,BOEING,03/27/1987,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
943,N309AS,Corporation,BOEING,07/30/2001,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2001
944,N309AT,Corporation,BOEING,01/24/2007,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
945,N309AW,Corporation,BOEING,09/28/2005,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
946,N309SW,Corporation,BOEING,06/27/2005,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
947,N309UA,Corporation,BOEING,04/16/1987,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
948,N309US,Corporation,AIRBUS INDUSTRIE,05/23/2006,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
949,N310NW,Corporation,AIRBUS INDUSTRIE,05/23/2006,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
950,N310SW,Corporation,BOEING,01/13/1986,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1985
951,N310UA,Corporation,BOEING,05/12/1987,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
952,N31131,Corporation,EMBRAER,04/09/2003,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003
953,N311AT,Corporation,BOEING,02/01/2007,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
954,N311AW,Corporation,BOEING,02/28/2006,737-3G7,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
955,N311SW,Corporation,BOEING,03/21/1986,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
956,N311UA,Corporation,BOEING,01/14/1988,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
957,N311US,Corporation,AIRBUS INDUSTRIE,11/13/1990,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
958,N312AT,Corporation,BOEING,02/06/2007,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006
959,N312SW,Corporation,BOEING,03/24/1986,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
960,N312UA,Corporation,BOEING,06/21/2004,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
961,N312US,Corporation,AIRBUS INDUSTRIE,10/20/2004,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
962,N313AT,Corporation,BOEING,02/09/2007,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
963,N313AW,Corporation,BOEING,11/07/1990,737-3S3,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
964,N313SW,Corporation,BOEING,03/27/1986,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
965,N313UA,Corporation,BOEING,01/14/1988,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
966,N313US,Corporation,AIRBUS INDUSTRIE,09/21/2004,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1990
967,N31412,Corporation,BOEING,04/16/2002,737-924,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
968,N314AW,Corporation,BOEING,11/21/1990,737-3S3,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
969,N314NB,Corporation,AIRBUS INDUSTRIE,03/20/2000,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
970,N314SW,Corporation,BOEING,04/20/1992,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
971,N314UA,Corporation,BOEING,01/20/1988,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
972,N314US,Corporation,AIRBUS INDUSTRIE,09/22/2004,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1991
973,N315AS,Corporation,BOEING,10/02/2002,737-990,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2002
974,N315AT,Corporation,BOEING,03/16/2007,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
975,N315AW,Corporation,BOEING,12/06/1990,737-3S3,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
976,N315NB,Corporation,AIRBUS INDUSTRIE,05/22/2000,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
977,N315SW,Corporation,BOEING,04/20/1992,737-3H4,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1986
978,N315UA,Corporation,BOEING,01/21/1988,737-322,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
979,N315US,Corporation,AIRBUS INDUSTRIE,10/21/2004,A320-211,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1991
980,N316AT,Corporation,BOEING,03/28/2007,737-7BD,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007
981,N316AW,Corporation,BOEING,01/09/1991,737-3S3,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1987
982,N316NB,Corporation,AIRBUS INDUSTRIE,06/16/2000,A319-114,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2000
